index,category
26,Fruits
25,Vegetables
9,Dairy & Eggs
27,Meat & Poultry
7,Fish & Shellfish
28,"Nuts, Grains & Pasta"
6,Condiments & Oils
31,Snacks & Baked Goods
30,Herbs & Spices
5,Beverages
